"","DOY","Location","daily_plant_C","daily_plant_photosynthesis","daily_plant_respiration","ID"
"1","Aug_17","Albuquerque",-0.0101277224242606,0.0618769332972355,0.0720046557214961,"Medlyn"
"2","Aug_17","London",0.0410166461635257,0.0782154898888701,0.0371988437253445,"Medlyn"
"3","Aug_18","Albuquerque",-0.00967304668628115,0.0605257279373588,0.07019877462364,"Medlyn"
"4","Aug_18","London",0.0468409252028142,0.0836987819968316,0.0368578567940174,"Medlyn"
"5","Aug_19","Albuquerque",-0.0164639813609061,0.0515869842104224,0.0680509655713285,"Medlyn"
"6","Aug_19","London",0.0469380850804766,0.0831616736154685,0.0362235885349919,"Medlyn"
"7","May_17","Albuquerque",0.039720654919824,0.0673834125735814,0.0276627576537574,"Medlyn"
"8","May_17","London",0.053197089309819,0.0728876102567719,0.0196905209469529,"Medlyn"
"9","May_18","Albuquerque",0.0450801832737021,0.0766953339890637,0.0316151507153616,"Medlyn"
"10","May_18","London",0.0566558177163537,0.0744890931998688,0.0178332754835151,"Medlyn"
"11","May_19","Albuquerque",0.0394702692061981,0.0628228581324621,0.023352588926264,"Medlyn"
"12","May_19","London",0.0525645924706847,0.0798063678167873,0.0272417753461027,"Medlyn"
"13","Oct_17","Albuquerque",0.0233742619885264,0.057054904321531,0.0336806423330046,"Medlyn"
"14","Oct_17","London",0.0303856650897749,0.0432700035243092,0.0128843384345342,"Medlyn"
"15","Oct_18","Albuquerque",0.0326715945619228,0.0605455838448029,0.02787398928288,"Medlyn"
"16","Oct_18","London",0.0364937483754568,0.0494862708346985,0.0129925224592416,"Medlyn"
"17","Oct_19","Albuquerque",0.0372521975791405,0.0609728666180719,0.0237206690389314,"Medlyn"
"18","Oct_19","London",0.0404855250489143,0.0537758637035868,0.0132903386546725,"Medlyn"
"19","Aug_17","Albuquerque",-0.0101277224242606,0.0618769332972355,0.0720046557214961,"Medlyn"
"20","Aug_17","London",0.0408677656606431,0.0780666093859875,0.0371988437253445,"Medlyn"
"21","Aug_18","Albuquerque",-0.00967304668628115,0.0605257279373588,0.07019877462364,"Medlyn"
"22","Aug_18","London",0.0449560277487583,0.0818138845427757,0.0368578567940174,"Medlyn"
"23","Aug_19","Albuquerque",-0.0164639813609061,0.0515869842104224,0.0680509655713285,"Medlyn"
"24","Aug_19","London",0.0456803194674404,0.0819039080024323,0.0362235885349919,"Medlyn"
"25","May_17","Albuquerque",0.0155425674062178,0.0432053250599753,0.0276627576537574,"Medlyn"
"26","May_17","London",-0.00564445931115588,0.0140460616357971,0.0196905209469529,"Medlyn"
"27","May_18","Albuquerque",0.0248710110984995,0.0564861618138611,0.0316151507153616,"Medlyn"
"28","May_18","London",0.00359363913098446,0.0214269146144995,0.0178332754835151,"Medlyn"
"29","May_19","Albuquerque",0.00508358866863567,0.0284361775948997,0.023352588926264,"Medlyn"
"30","May_19","London",0.0383772138323194,0.0656189891784221,0.0272417753461027,"Medlyn"
"31","Oct_17","Albuquerque",0.0147022393336099,0.0483828816666145,0.0336806423330046,"Medlyn"
"32","Oct_17","London",-0.0108383615195538,0.00204597691498044,0.0128843384345342,"Medlyn"
"33","Oct_18","Albuquerque",0.0250975039077647,0.0529714931906447,0.02787398928288,"Medlyn"
"34","Oct_18","London",-0.00931515179832825,0.00367737066091339,0.0129925224592416,"Medlyn"
"35","Oct_19","Albuquerque",0.0136648253941352,0.0373854944330666,0.0237206690389314,"Medlyn"
"36","Oct_19","London",-0.00612031595134419,0.00717002270332828,0.0132903386546725,"Medlyn"
"37","Aug_17","Albuquerque",-0.00684940904255092,0.0651552466789452,0.0720046557214961,"Medlyn"
"38","Aug_17","London",0.0160586689767936,0.0532575127021381,0.0371988437253445,"Medlyn"
"39","Aug_18","Albuquerque",-0.00563060690003208,0.0645681677236079,0.07019877462364,"Medlyn"
"40","Aug_18","London",0.0137572011720143,0.0506150579660317,0.0368578567940174,"Medlyn"
"41","Aug_19","Albuquerque",-0.0227526368599797,0.0452983287113489,0.0680509655713285,"Medlyn"
"42","Aug_19","London",0.0142044739470402,0.0504280624820321,0.0362235885349919,"Medlyn"
"43","May_17","Albuquerque",-0.00130199349608955,0.0263607641576679,0.0276627576537574,"Medlyn"
"44","May_17","London",-0.0115403173545537,0.00815020359239921,0.0196905209469529,"Medlyn"
"45","May_18","Albuquerque",-6.62049621264557e-05,0.0315489457532351,0.0316151507153616,"Medlyn"
"46","May_18","London",-0.00679576805030597,0.0110375074332091,0.0178332754835151,"Medlyn"
"47","May_19","Albuquerque",-0.00943457285191244,0.0139180160743516,0.023352588926264,"Medlyn"
"48","May_19","London",0.0126542681608067,0.0398960435069094,0.0272417753461027,"Medlyn"
"49","Oct_17","Albuquerque",0.00492640049288171,0.0386070428258863,0.0336806423330046,"Medlyn"
"50","Oct_17","London",-0.0115190686086659,0.00136526982586832,0.0128843384345342,"Medlyn"
"51","Oct_18","Albuquerque",-0.00316588652081497,0.0247081027620651,0.02787398928288,"Medlyn"
"52","Oct_18","London",-0.0104669049431995,0.00252561751604219,0.0129925224592416,"Medlyn"
"53","Oct_19","Albuquerque",-0.0075907082647357,0.0161299607741957,0.0237206690389314,"Medlyn"
"54","Oct_19","London",-0.00892084239916878,0.00436949625550369,0.0132903386546725,"Medlyn"
"55","Aug_17","Albuquerque",-0.00684940904255092,0.0651552466789452,0.0720046557214961,"Medlyn"
"56","Aug_17","London",0.0160586689767936,0.0532575127021381,0.0371988437253445,"Medlyn"
"57","Aug_18","Albuquerque",-0.00563060690003208,0.0645681677236079,0.07019877462364,"Medlyn"
"58","Aug_18","London",0.0137572011720143,0.0506150579660317,0.0368578567940174,"Medlyn"
"59","Aug_19","Albuquerque",-0.0227526368599797,0.0452983287113489,0.0680509655713285,"Medlyn"
"60","Aug_19","London",0.0142044739470402,0.0504280624820321,0.0362235885349919,"Medlyn"
"61","May_17","Albuquerque",-0.00130199349608955,0.0263607641576679,0.0276627576537574,"Medlyn"
"62","May_17","London",-0.0115403173545537,0.00815020359239921,0.0196905209469529,"Medlyn"
"63","May_18","Albuquerque",-6.62049621264557e-05,0.0315489457532351,0.0316151507153616,"Medlyn"
"64","May_18","London",-0.00679576805030597,0.0110375074332091,0.0178332754835151,"Medlyn"
"65","May_19","Albuquerque",-0.00943457285191244,0.0139180160743516,0.023352588926264,"Medlyn"
